No,商品コード,商品名称,細分類コード,細分類名称,メーカーコード,メーカー名称,出現日,容量,年月,地区コード,地区名称,金額,数量,平均価格,金額／販売店千人,数量／販売店千人,数量／店,販売店率
16,4901990028929,マルちゃん　やきそば弁当　１３２ｇ,111203,カップ麺,4901990,東洋水産,2002年04月01日,132,2023年04月,980,全国,9673159,91169,106.10,936.157,8.823,616.01,14.79%
16,4901990028929,マルちゃん　やきそば弁当　１３２ｇ,111203,カップ麺,4901990,東洋水産,2002年04月01日,132,2023年05月,980,全国,11510152,109220,105.39,1165.179,11.056,797.23,13.69%
16,4901990028929,マルちゃん　やきそば弁当　１３２ｇ,111203,カップ麺,4901990,東洋水産,2002年04月01日,132,2023年06月,980,全国,6763629,58114,116.39,657.584,5.650,387.43,14.99%
16,4901990028929,マルちゃん　やきそば弁当　１３２ｇ,111203,カップ麺,4901990,東洋水産,2002年04月01日,132,2023年07月,980,全国,9181082,79703,115.19,670.796,5.823,419.49,18.98%
16,4901990028929,マルちゃん　やきそば弁当　１３２ｇ,111203,カップ麺,4901990,東洋水産,2002年04月01日,132,2023年08月,980,全国,10792975,91456,118.01,672.167,5.696,395.91,23.08%
16,4901990028929,マルちゃん　やきそば弁当　１３２ｇ,111203,カップ麺,4901990,東洋水産,2002年04月01日,132,2023年09月,980,全国,10207589,85161,119.86,585.258,4.883,328.81,25.87%
16,4901990028929,マルちゃん　やきそば弁当　１３２ｇ,111203,カップ麺,4901990,東洋水産,2002年04月01日,132,2023年10月,980,全国,8200125,67442,121.59,686.942,5.650,399.07,16.88%
16,4901990028929,マルちゃん　やきそば弁当　１３２ｇ,111203,カップ麺,4901990,東洋水産,2002年04月01日,132,2023年11月,980,全国,9285219,78793,117.84,755.075,6.407,463.49,16.98%
16,4901990028929,マルちゃん　やきそば弁当　１３２ｇ,111203,カップ麺,4901990,東洋水産,2002年04月01日,132,2023年12月,980,全国,11301172,101085,111.80,1220.803,10.920,894.56,11.29%
17,4902105004135,日清　日清のどん兵衛　肉うどん　８７ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,87,2023年01月,980,全国,10470291,80219,130.52,326.234,2.499,145.06,55.24%
17,4902105004135,日清　日清のどん兵衛　肉うどん　８７ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,87,2023年02月,980,全国,8588303,64975,132.18,283.210,2.143,118.78,54.65%
17,4902105004135,日清　日清のどん兵衛　肉うどん　８７ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,87,2023年03月,980,全国,8090529,60223,134.34,236.122,1.758,108.51,55.44%
17,4902105004135,日清　日清のどん兵衛　肉うどん　８７ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,87,2023年04月,980,全国,8170540,61914,131.97,247.444,1.875,114.23,54.15%
17,4902105004135,日清　日清のどん兵衛　肉うどん　８７ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,87,2023年05月,980,全国,7378281,55551,132.82,222.909,1.678,105.81,52.45%
